CID,IDSURVEY,zHD,zHEL,MU,MUERR
1257609,10,0.33389,0.3344,41.09655,0.2212
1319066,10,0.33403,0.33449,41.33285,0.2211
1335305,10,0.33403,0.33501,41.52916,0.1613
1480038,10,0.33423,0.3353,41.22336,0.1221
1531112,10,0.3347,0.33582,41.27318,0.1287
1309293,10,0.33472,0.33521,41.17467,0.21
1297318,10,0.33479,0.33529,41.35422,0.2108
1323016,10,0.33485,0.33582,41.43045,0.2227
1346966,10,0.33513,0.33558,41.11304,0.13
1262163,10,0.3352,0.33566,42.21636,15.655
1246281,10,0.33549,0.336,41.20914,0.135
1929216,10,0.33584,0.33695,41.31977,0.1783
1330530,10,0.33633,0.33682,41.13656,0.2469
1314897,10,0.33662,0.33769,41.10509,0.1566
1287437,10,0.33681,0.33727,41.40221,0.3103
1320501,10,0.33683,0.33781,41.21969,0.1155
1871017,10,0.3372,0.3377,41.11461,0.0989
1257016,10,0.33743,0.3384,41.10457,0.1877
1909375,10,0.33753,0.33805,41.21254,0.0889
1313057,10,0.33754,0.33809,41.43363,0.2215
1322819,10,0.33759,0.33807,41.39351,0.1225
1263197,10,0.33778,0.33826,40.99379,0.1457
1300912,10,0.3378,0.33834,41.1826,0.2109
1723034,10,0.33784,0.33833,41.3674,0.177
1262131,10,0.33802,0.33852,41.20249,0.1091
1304145,10,0.33811,0.33907,42.34314,197.6117
1294351,10,0.33828,0.33926,41.29239,0.1437
1770702,10,0.33846,0.33943,40.87733,0.2161
1343337,10,0.33899,0.33947,41.12532,0.2524
1319614,10,0.3392,0.33972,41.41143,0.2125
